1,1675103,Florencio Varela,Buenos Aires
0,1402094,Avellaneda,Buenos Aires
1,5161914,La Plata,Buenos Aires
0,4680784,General Pueyrredon,Buenos Aires
1,4228049,Bahia Blanca,Buenos Aires
3,11525292,San Lorenzo,Santa Fe
0,3867111,Tigre,Buenos Aires
1,3581231,San Fernando,Buenos Aires
0,3725804,San Miguel,Buenos Aires
3,9663886,Adolfo Alsina,Rio negro
3,7130519,Capital,Corrientes
1,8135776,Uruguay,Entre Rios
1,714368,Comuna 10,Ciudad Autonoma de Buenos Aires
3,10332651,25 de Mayo,San Juan
1,11517618,San Lorenzo,Santa Fe
1,3959301,Tres de Febrero,Buenos Aires
1,1893726,Hurlingham,Buenos Aires
1,8025464,Parana,Entre Rios
3,2408487,La Matanza,Buenos Aires
1,2620709,Lanus,Buenos Aires
0,1324049,Avellaneda,Buenos Aires
1,8827212,Guaymallen,Mendoza
0,2528193,La Matanza,Buenos Aires
3,2167975,La Matanza,Buenos Aires
0,5516685,Pilar,Buenos Aires
1,10303021,Rivadavia,San Juan
0,4542540,Ensenada,Buenos Aires
0,10951690,La Capital,Santa Fe
3,7939356,Gualeguaychu,Entre Rios
1,1635607,Ezeiza,Buenos Aires
3,8749887,Godoy Cruz,Mendoza
1,6075919,Capital,Cordoba
1,2431246,La Matanza,Buenos Aires
1,13364,Comuna 01,Ciudad Autonoma de Buenos Aires
1,2652200,Lanus,Buenos Aires
1,1462991,Berazategui,Buenos Aires
3,8857266,Guaymallen,Mendoza
1,4293476,Berisso,Buenos Aires
1,7329707,San Roque,Corrientes
1,2194278,La Matanza,Buenos Aires
3,11245093,Rosario,Santa Fe
0,8244742,Matacos,Formosa
0,1492527,Berazategui,Buenos Aires
3,9200087,Cainguas,Misiones
0,720802,Comuna 10,Ciudad Autonoma de Buenos Aires
1,1709466,Florencio Varela,Buenos Aires
3,10295869,Rivadavia,San Juan
0,10276692,Rawson,San Juan
0,7219440,General Alvear,Corrientes
1,10213009,Chimbas,San Juan
2,7160144,Capital,Corrientes
3,8743896,Godoy Cruz,Mendoza
1,696643,Comuna 10,Ciudad Autonoma de Buenos Aires
1,6194389,Capital,Cordoba
1,5125989,La Plata,Buenos Aires
2,4380270,Canuelas,Buenos Aires
3,2655260,Lanus,Buenos Aires
0,8075110,Parana,Entre Rios
0,7601841,San Fernando,Chaco
0,1558889,Esteban Echeverria,Buenos Aires
0,4797740,General Pueyrredon,Buenos Aires
0,605853,Comuna 08,Ciudad Autonoma de Buenos Aires
0,3120866,Merlo,Buenos Aires
1,8033775,Parana,Entre Rios
3,1798898,General San Martin,Buenos Aires
1,8970031,Lujan de Cuyo,Mendoza
2,11705027,Choya,Santiago del Estero
3,1586267,Esteban Echeverria,Buenos Aires
0,2763561,Lomas de Zamora,Buenos Aires
0,10234703,Iglesia,San Juan
1,9697078,Bariloche,Rio negro
0,3605847,San Isidro,Buenos Aires
0,5168836,La Plata,Buenos Aires
1,7468361,Mayor Luis J. Fontana,Chaco
0,11130459,Rosario,Santa Fe
3,6965789,San Justo,Cordoba
3,4890671,General Rodriguez,Buenos Aires
3,10425736,La Capital,San Luis
3,7188922,Concepcion,Corrientes
1,8684328,Rosario Vera Penaloza,La Rioja
0,4638854,General Arenales,Buenos Aires
1,2087788,La Matanza,Buenos Aires
0,590529,Comuna 08,Ciudad Autonoma de Buenos Aires
0,11573591,Alberdi,Santiago del Estero
1,5266611,Lujan,Buenos Aires
3,5440685,Olavarria,Buenos Aires
1,2599358,Lanus,Buenos Aires
1,3688331,San Miguel,Buenos Aires
3,7177062,Capital,Corrientes
3,8166048,Villaguay,Entre Rios
3,2734210,Lomas de Zamora,Buenos Aires
1,10420438,La Capital,San Luis
0,10070401,General Jose de San Martin,Salta
1,8552317,Maraco,La Pampa
1,2898409,Malvinas Argentinas,Buenos Aires
1,2302955,La Matanza,Buenos Aires
1,6614177,Ischilin,Cordoba
0,3738257,San Miguel,Buenos Aires
3,4193163,Bahia Blanca,Buenos Aires
3,1498961,Berazategui,Buenos Aires
3,11112872,Rosario,Santa Fe
0,12083136,Capital,Tucuman
2,11688901,Capital,Santiago del Estero
1,1638926,Ezeiza,Buenos Aires
0,9043630,Rivadavia,Mendoza
0,6619405,Ischilin,Cordoba
0,4977313,La Costa,Buenos Aires
1,9245699,Capital,Misiones
1,977556,Comuna 14,Ciudad Autonoma de Buenos Aires
0,12127636,Tafi Viejo,Tucuman
3,10506400,Guer Aike,Santa Cruz
0,1821904,General San Martin,Buenos Aires
0,10414485,La Capital,San Luis
1,2100030,La Matanza,Buenos Aires
2,1506746,Berazategui,Buenos Aires
